date,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Weekday Name
21/02/2014,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,2014,2,Friday
22/02/2014,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,2014,2,Saturday
23/02/2014,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,2014,2,Sunday
24/02/2014,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,2014,2,Monday
25/02/2014,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2014,2,Tuesday
26/02/2014,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,2014,2,Wednesday
27/02/2014,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2014,2,Thursday
28/02/2014,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,2014,2,Friday
01/03/2014,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2014,3,Saturday
02/03/2014,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,2014,3,Sunday
03/03/2014,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,2014,3,Monday
04/03/2014,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,2014,3,Tuesday
05/03/2014,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,2014,3,Wednesday
06/03/2014,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2014,3,Thursday
07/03/2014,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,2014,3,Friday
08/03/2014,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,2014,3,Saturday
09/03/2014,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,2014,3,Sunday
10/03/2014,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,2014,3,Monday
11/03/2014,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2014,3,Tuesday
12/03/2014,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2014,3,Wednesday
13/03/2014,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2014,3,Thursday
14/03/2014,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,2014,3,Friday
15/03/2014,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014,3,Saturday
16/03/2014,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2014,3,Sunday
17/03/2014,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,2014,3,Monday
18/03/2014,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,2014,3,Tuesday
19/03/2014,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,2014,3,Wednesday
20/03/2014,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,2014,3,Thursday
21/03/2014,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,2014,3,Friday
22/03/2014,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,2014,3,Saturday
23/03/2014,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,2014,3,Sunday
24/03/2014,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,2014,3,Monday
25/03/2014,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,2014,3,Tuesday
26/03/2014,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2014,3,Wednesday
27/03/2014,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2014,3,Thursday
28/03/2014,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2014,3,Friday
29/03/2014,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2014,3,Saturday
30/03/2014,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,2014,3,Sunday
31/03/2014,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2014,3,Monday
01/04/2014,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014,4,Tuesday
02/04/2014,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2014,4,Wednesday
03/04/2014,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2014,4,Thursday
04/04/2014,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2014,4,Friday
05/04/2014,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2014,4,Saturday
06/04/2014,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2014,4,Sunday
07/04/2014,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2014,4,Monday
08/04/2014,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2014,4,Tuesday
09/04/2014,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2014,4,Wednesday
10/04/2014,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2014,4,Thursday
11/04/2014,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2014,4,Friday
12/04/2014,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2014,4,Saturday
13/04/2014,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2014,4,Sunday
14/04/2014,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2014,4,Monday
15/04/2014,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2014,4,Tuesday
16/04/2014,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2014,4,Wednesday
17/04/2014,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2014,4,Thursday
18/04/2014,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2014,4,Friday
19/04/2014,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2014,4,Saturday
20/04/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,Sunday
21/04/2014,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2014,4,Monday
22/04/2014,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2014,4,Tuesday
23/04/2014,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2014,4,Wednesday
24/04/2014,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2014,4,Thursday
25/04/2014,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2014,4,Friday
26/04/2014,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2014,4,Saturday
27/04/2014,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2014,4,Sunday
28/04/2014,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2014,4,Monday
29/04/2014,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2014,4,Tuesday
30/04/2014,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2014,4,Wednesday
01/05/2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5,Thursday
02/05/2014,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,2014,5,Friday
03/05/2014,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,2014,5,Saturday
04/05/2014,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,2014,5,Sunday
05/05/2014,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,2014,5,Monday
06/05/2014,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,2014,5,Tuesday
07/05/2014,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,2014,5,Wednesday
08/05/2014,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2014,5,Thursday
09/05/2014,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2014,5,Friday
10/05/2014,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,2014,5,Saturday
11/05/2014,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2014,5,Sunday
12/05/2014,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,2014,5,Monday
13/05/2014,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,2014,5,Tuesday
14/05/2014,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,2014,5,Wednesday
15/05/2014,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2014,5,Thursday
16/05/2014,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,2014,5,Friday
17/05/2014,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2014,5,Saturday
18/05/2014,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,2014,5,Sunday
19/05/2014,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,2014,5,Monday
20/05/2014,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,2014,5,Tuesday
21/05/2014,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2014,5,Wednesday
22/05/2014,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,2014,5,Thursday
23/05/2014,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,2014,5,Friday
24/05/2014,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,2014,5,Saturday
25/05/2014,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2014,5,Sunday
26/05/2014,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2014,5,Monday
27/05/2014,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,2014,5,Tuesday
28/05/2014,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,2014,5,Wednesday
29/05/2014,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,2014,5,Thursday
30/05/2014,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,2014,5,Friday
31/05/2014,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,2014,5,Saturday
01/06/2014,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2014,6,Sunday
02/06/2014,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2014,6,Monday
03/06/2014,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2014,6,Tuesday
04/06/2014,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2014,6,Wednesday
05/06/2014,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2014,6,Thursday
06/06/2014,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2014,6,Friday
07/06/2014,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2014,6,Saturday
08/06/2014,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2014,6,Sunday
09/06/2014,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2014,6,Monday
10/06/2014,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2014,6,Tuesday
11/06/2014,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2014,6,Wednesday
12/06/2014,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2014,6,Thursday
13/06/2014,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2014,6,Friday
14/06/2014,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2014,6,Saturday
15/06/2014,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2014,6,Sunday
16/06/2014,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2014,6,Monday
17/06/2014,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2014,6,Tuesday
18/06/2014,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2014,6,Wednesday
19/06/2014,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2014,6,Thursday
20/06/2014,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2014,6,Friday
21/06/2014,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2014,6,Saturday
22/06/2014,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2014,6,Sunday
23/06/2014,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2014,6,Monday
24/06/2014,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,6,Tuesday
25/06/2014,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,2014,6,Wednesday
26/06/2014,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2014,6,Thursday
27/06/2014,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,2014,6,Friday
28/06/2014,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,2014,6,Saturday
29/06/2014,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,2014,6,Sunday
30/06/2014,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,2014,6,Monday
01/07/2014,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,2014,7,Tuesday
02/07/2014,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,2014,7,Wednesday
03/07/2014,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2014,7,Thursday
04/07/2014,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,2014,7,Friday
05/07/2014,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,2014,7,Saturday
06/07/2014,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,2014,7,Sunday
07/07/2014,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2014,7,Monday
08/07/2014,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,2014,7,Tuesday
09/07/2014,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,2014,7,Wednesday
10/07/2014,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2014,7,Thursday
11/07/2014,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2014,7,Friday
12/07/2014,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2014,7,Saturday
13/07/2014,2.0,1.34,1.0,17.0,2.0,0.0,0.0,0.0,2014,7,Sunday
14/07/2014,5.0,3.04,3.0,11.8,19.0,1.0,2.0,2.0,2014,7,Monday
15/07/2014,3.34,1.68,1.0,15.6,18.0,0.0,0.0,1.3,2014,7,Tuesday
16/07/2014,4.0,3.34,3.0,13.0,12.0,1.0,4.0,0.0,2014,7,Wednesday
17/07/2014,2.0,3.0,5.0,25.0,14.0,1.0,0.0,1.0,2014,7,Thursday
18/07/2014,9.0,2.34,1.5,14.2,6.0,3.0,0.0,4.0,2014,7,Friday
19/07/2014,7.33,7.02,6.0,8.4,10.0,0.0,6.0,6.0,2014,7,Saturday
20/07/2014,3.0,0.34,1.0,8.0,5.0,0.0,0.0,0.1,2014,7,Sunday
21/07/2014,3.0,4.68,8.0,20.0,13.0,1.0,0.0,2.0,2014,7,Monday
22/07/2014,5.0,5.68,3.0,9.0,7.0,0.0,1.0,2.0,2014,7,Tuesday
23/07/2014,2.67,6.37,2.0,8.0,19.0,0.0,0.0,3.0,2014,7,Wednesday
24/07/2014,5.34,2.0,4.4,23.0,5.0,0.0,0.0,2.0,2014,7,Thursday
25/07/2014,5.0,2.02,7.5,10.0,15.0,1.0,1.0,2.0,2014,7,Friday
26/07/2014,4.0,6.68,6.2,36.2,13.0,0.0,0.0,4.0,2014,7,Saturday
27/07/2014,3.0,1.34,2.0,10.0,5.0,0.0,6.0,1.0,2014,7,Sunday
28/07/2014,2.0,1.34,2.0,9.1,9.0,0.0,0.0,2.0,2014,7,Monday
29/07/2014,2.34,0.68,1.0,13.0,15.0,3.0,0.0,5.0,2014,7,Tuesday
30/07/2014,0.68,1.34,5.0,13.5,14.0,0.0,6.0,4.5,2014,7,Wednesday
31/07/2014,3.0,0.34,4.0,10.5,8.0,0.0,0.0,1.0,2014,7,Thursday
01/08/2014,2.0,1.0,2.2,14.0,17.0,1.0,0.0,1.0,2014,8,Friday
02/08/2014,5.0,2.01,6.0,29.0,12.0,0.0,5.0,3.0,2014,8,Saturday
03/08/2014,5.0,1.0,3.0,6.0,5.0,5.0,0.0,0.0,2014,8,Sunday
04/08/2014,4.0,5.02,6.0,21.5,14.0,0.0,0.0,4.0,2014,8,Monday
05/08/2014,2.0,1.34,3.0,17.1,9.0,0.0,0.0,0.0,2014,8,Tuesday
06/08/2014,6.0,5.0,1.4,17.0,7.0,1.0,1.0,1.0,2014,8,Wednesday
07/08/2014,3.34,2.68,3.0,33.0,13.0,1.0,0.0,2.0,2014,8,Thursday
08/08/2014,5.02,4.02,5.0,13.0,12.0,3.0,2.0,2.0,2014,8,Friday
09/08/2014,4.0,1.34,6.0,19.0,24.0,3.0,0.0,5.9,2014,8,Saturday
10/08/2014,4.0,0.34,4.0,3.0,4.0,0.0,0.0,2.0,2014,8,Sunday
11/08/2014,8.0,5.36,9.2,20.0,18.0,0.0,0.0,2.0,2014,8,Monday
12/08/2014,0.0,1.36,4.5,10.0,8.0,1.0,0.0,4.6,2014,8,Tuesday
13/08/2014,1.34,3.34,1.0,20.3,11.0,0.0,0.0,7.0,2014,8,Wednesday
14/08/2014,4.0,2.34,6.0,14.4,13.0,0.0,0.0,6.0,2014,8,Thursday
15/08/2014,4.34,4.02,7.0,13.2,15.0,2.0,3.0,2.0,2014,8,Friday
16/08/2014,8.0,2.43,5.0,19.0,27.0,2.0,0.0,1.0,2014,8,Saturday
17/08/2014,0.34,0.68,2.0,6.5,7.0,0.0,0.0,1.0,2014,8,Sunday
18/08/2014,4.34,6.0,3.1,16.5,21.0,3.0,10.0,2.0,2014,8,Monday
19/08/2014,11.34,6.35,5.0,16.1,13.0,1.0,3.0,1.1,2014,8,Tuesday
20/08/2014,5.34,5.34,1.4,9.0,10.0,2.0,0.0,1.0,2014,8,Wednesday
21/08/2014,3.0,1.0,2.0,18.0,16.0,1.0,0.0,2.2,2014,8,Thursday
22/08/2014,6.34,1.34,5.0,19.0,15.0,0.0,0.0,1.0,2014,8,Friday
23/08/2014,3.0,3.02,1.0,25.6,5.0,0.0,0.0,4.0,2014,8,Saturday
24/08/2014,3.0,2.175,3.0,7.0,12.0,0.0,1.0,0.0,2014,8,Sunday
25/08/2014,4.01,3.175,3.0,21.2,21.0,0.0,0.0,0.0,2014,8,Monday
26/08/2014,2.34,5.34,3.0,31.0,14.0,1.0,1.0,3.0,2014,8,Tuesday
27/08/2014,3.34,8.02,4.0,21.0,14.0,0.0,0.0,3.0,2014,8,Wednesday
28/08/2014,2.34,5.36,6.0,32.67,19.0,0.0,4.0,0.0,2014,8,Thursday
29/08/2014,6.34,3.68,5.0,26.28,18.0,1.0,0.0,3.0,2014,8,Friday
30/08/2014,3.68,3.02,7.0,13.0,13.0,1.0,0.0,4.0,2014,8,Saturday
31/08/2014,0.0,2.68,1.0,15.0,13.0,0.0,7.0,2.0,2014,8,Sunday
01/09/2014,3.34,1.715,1.0,15.5,15.0,0.0,0.0,5.5,2014,9,Monday
02/09/2014,2.34,4.68,5.2,20.14,7.0,0.0,2.0,3.0,2014,9,Tuesday
03/09/2014,7.0,6.34,4.0,22.18,12.0,0.0,2.0,3.0,2014,9,Wednesday
04/09/2014,5.68,5.34,3.0,17.6,21.0,1.0,0.0,1.0,2014,9,Thursday
05/09/2014,4.0,0.779,3.0,15.6,15.0,2.0,0.0,2.0,2014,9,Friday
06/09/2014,5.34,5.0,2.4,15.7,30.0,2.0,5.0,3.1,2014,9,Saturday
07/09/2014,2.0,5.515,5.0,7.0,9.0,0.0,0.0,1.0,2014,9,Sunday
08/09/2014,1.0,5.36,3.5,20.8,15.0,0.0,1.0,4.0,2014,9,Monday
09/09/2014,6.34,2.34,4.0,29.2,17.0,0.0,2.0,1.2,2014,9,Tuesday
10/09/2014,4.34,3.34,3.5,37.8,12.0,0.0,0.0,1.0,2014,9,Wednesday
11/09/2014,0.0,1.34,4.0,32.2,15.0,0.0,10.0,0.0,2014,9,Thursday
12/09/2014,2.68,2.67,1.0,20.0,19.0,0.0,8.0,1.0,2014,9,Friday
13/09/2014,3.0,5.36,4.4,56.85,20.0,0.0,1.0,3.0,2014,9,Saturday
14/09/2014,1.34,2.0,2.0,19.5,6.0,0.0,6.0,0.0,2014,9,Sunday
15/09/2014,1.34,3.0,5.4,28.2,9.0,0.0,1.0,0.0,2014,9,Monday
16/09/2014,4.0,2.68,0.0,59.3,13.0,0.0,0.0,0.0,2014,9,Tuesday
17/09/2014,2.34,6.0,4.0,39.6,11.0,2.0,19.0,4.0,2014,9,Wednesday
18/09/2014,3.0,2.02,1.0,44.0,7.0,0.0,0.0,1.0,2014,9,Thursday
19/09/2014,2.0,4.34,7.8,23.0,8.0,0.0,22.0,0.0,2014,9,Friday
20/09/2014,4.34,1.855,4.5,20.6,14.0,1.0,2.0,0.0,2014,9,Saturday
21/09/2014,1.0,3.02,6.0,12.4,7.0,0.0,0.0,3.0,2014,9,Sunday
22/09/2014,3.34,4.0,5.5,34.2,10.0,1.0,0.0,2.0,2014,9,Monday
23/09/2014,3.0,3.34,5.5,26.0,10.0,0.0,1.0,2.0,2014,9,Tuesday
24/09/2014,6.0,3.34,1.4,24.7,14.0,0.0,0.0,0.0,2014,9,Wednesday
25/09/2014,4.68,6.34,8.2,49.15,15.0,1.0,1.0,5.0,2014,9,Thursday
26/09/2014,4.0,3.68,3.5,38.0,22.0,2.0,0.0,1.0,2014,9,Friday
27/09/2014,4.0,2.0,6.0,46.3,18.0,0.0,0.0,4.0,2014,9,Saturday
28/09/2014,0.34,2.68,1.0,21.2,6.0,0.0,0.0,2.0,2014,9,Sunday
29/09/2014,7.0,3.68,2.3,29.8,12.0,0.0,10.0,4.0,2014,9,Monday
30/09/2014,10.0,5.34,4.0,61.3,10.0,2.0,22.0,2.0,2014,9,Tuesday
01/10/2014,2.34,0.0,2.4,44.0,15.0,0.0,11.0,2.0,2014,10,Wednesday
02/10/2014,2.0,4.99,5.0,23.9,11.0,0.0,2.0,1.0,2014,10,Thursday
03/10/2014,4.33,1.34,5.9,44.14,12.0,0.0,11.0,2.0,2014,10,Friday
04/10/2014,4.68,7.766,8.0,49.9,12.0,1.0,25.0,0.0,2014,10,Saturday
05/10/2014,2.0,3.34,3.0,19.0,1.0,0.0,0.0,3.0,2014,10,Sunday
06/10/2014,5.34,1.365,2.4,69.875,13.0,1.0,0.0,1.0,2014,10,Monday
07/10/2014,3.0,4.34,2.2,41.7,17.0,1.0,5.0,0.0,2014,10,Tuesday
08/10/2014,3.68,6.0,7.0,50.0,17.0,0.0,0.0,2.0,2014,10,Wednesday
09/10/2014,1.0,4.69,6.0,48.2,10.0,2.0,5.0,0.0,2014,10,Thursday
10/10/2014,4.34,2.68,9.0,28.8,24.0,3.0,6.0,0.5,2014,10,Friday
11/10/2014,3.34,3.68,5.0,35.9,15.0,0.0,0.0,5.0,2014,10,Saturday
