ID,month,credit_amount,credit_term,age,sex,education,product_type,having_children_flg,region,income,family_status,phone_operator,is_client,bad_client_target
115,1,8000,3,53,male,Higher education,Computers,0,2,19000,Another,3,1,0
116,1,26500,18,24,male,Secondary education,Cell phones,0,2,26000,Another,1,1,0
117,1,36000,10,35,male,Higher education,Furniture,1,2,31000,Married,1,0,0
118,1,29000,18,29,female,Secondary special education,Household appliances,0,2,31000,Another,0,1,1
119,1,21000,18,34,male,Higher education,Cell phones,0,2,26000,Married,1,0,0
120,1,31000,12,25,male,Higher education,Cell phones,0,0,36000,Married,3,1,0
121,1,14500,9,20,male,Incomplete higher education,Household appliances,0,2,16000,Married,0,1,0
122,1,20000,12,29,female,Secondary education,Cell phones,1,2,21000,Another,0,1,1
123,1,13500,12,64,male,Higher education,Windows & Doors,0,2,26000,Another,1,1,0
124,1,6500,6,34,female,Secondary special education,Cell phones,0,2,26000,Married,0,0,1
125,1,26000,12,26,female,Secondary special education,Computers,0,2,16000,Married,2,1,0
126,1,8000,6,27,male,Secondary education,Cell phones,0,1,21000,Married,0,1,0
127,1,48000,24,54,female,Higher education,Household appliances,1,0,26000,Another,1,0,0
128,1,30500,24,27,female,Secondary special education,Household appliances,0,2,26000,Another,2,0,0
129,1,31500,6,39,male,Secondary special education,Cell phones,0,0,42000,Married,1,1,0
130,1,29500,18,21,male,Secondary special education,Cell phones,0,2,23000,Another,1,0,1
131,1,53500,18,47,male,Higher education,Medical services,0,0,21000,Another,1,1,0
132,1,37000,10,64,male,Higher education,Clothing,0,0,51000,Another,1,1,0
133,1,43000,15,25,male,Secondary special education,Tourism,0,2,29000,Another,2,1,0
134,1,18000,12,22,male,Secondary education,Cell phones,1,2,19000,Another,0,1,1
135,1,30000,12,26,female,Secondary special education,Cell phones,0,2,41000,Another,2,0,0
136,1,26500,14,23,male,Higher education,Household appliances,0,2,29000,Another,1,0,1
137,1,35500,12,30,male,Higher education,Cell phones,0,0,51000,Another,2,1,0
138,1,17500,10,36,female,Secondary special education,Cell phones,1,2,31000,Another,0,0,1
139,1,10500,10,22,female,Secondary special education,Computers,0,2,21000,Another,2,1,0
140,2,16000,6,21,female,Secondary special education,Cell phones,0,2,21000,Married,1,0,0
141,2,8500,6,53,female,Secondary special education,Cell phones,0,2,36000,Married,2,0,0
142,2,14500,4,29,male,Secondary special education,Computers,1,2,9000,Married,1,0,0
143,2,31000,10,64,male,Secondary special education,Cell phones,0,2,10000,Another,1,1,0
144,2,13500,6,64,male,Secondary special education,Construction Materials,1,2,13000,Another,1,1,0
145,2,15000,12,32,male,Secondary special education,Household appliances,1,2,21000,Another,3,1,0
146,2,9500,6,31,female,Secondary education,Cell phones,1,2,14000,Another,0,1,0
147,2,35500,12,23,female,Higher education,Fitness,0,0,41000,Another,1,1,0
148,2,11000,6,40,male,Higher education,Furniture,1,2,26000,Another,1,1,0
149,2,34000,12,36,male,Higher education,Cell phones,1,2,24000,Another,1,1,1
150,2,11000,3,29,female,Secondary special education,Furniture,0,1,31000,Another,1,1,0
151,2,20500,5,29,male,Secondary special education,Household appliances,0,2,26000,Another,1,0,0
152,2,9000,5,76,male,Secondary special education,Household appliances,0,2,19000,Another,0,1,0
153,2,20000,15,27,male,Higher education,Cell phones,0,2,31000,Another,1,1,0
154,2,57000,24,23,male,Higher education,Household appliances,0,2,46000,Married,2,1,0
155,2,38000,18,22,male,Secondary special education,Furniture,1,2,16000,Another,3,1,0
156,2,10000,12,24,male,Higher education,Cell phones,0,2,24000,Another,1,0,0
157,2,34000,6,41,female,Secondary special education,Cell phones,1,2,26000,Married,1,1,1
158,2,22000,10,24,female,Secondary special education,Cell phones,0,2,24000,Another,1,0,0
159,2,11000,6,48,female,Secondary education,Household appliances,1,2,46000,Another,1,1,0
160,2,32500,6,47,male,Higher education,Windows & Doors,1,0,51000,Another,3,1,0
161,2,18000,6,25,female,Higher education,Household appliances,1,0,61000,Another,0,0,0
162,2,11000,6,29,female,Secondary special education,Computers,0,2,24000,Another,1,1,0
163,2,32500,24,63,male,Secondary special education,Household appliances,0,2,13000,Another,2,1,0
164,2,43500,12,56,male,Higher education,Cosmetics and beauty services,0,0,16000,Another,1,1,0
165,2,19500,15,42,female,Higher education,Cell phones,1,2,21000,Another,2,1,0
166,2,53500,36,48,male,Secondary education,Windows & Doors,1,2,20000,Another,2,1,0
167,2,165000,12,48,female,Secondary special education,Furniture,0,2,51000,Another,3,1,0
168,2,33000,12,35,male,Secondary education,Cell phones,1,2,26000,Married,1,0,1
169,2,12500,6,53,male,Secondary education,Household appliances,1,2,13000,Another,3,1,0
170,2,14000,6,59,male,Secondary special education,Furniture,1,2,12000,Another,1,1,0
171,2,20000,12,21,male,Secondary education,Furniture,0,2,15000,Married,3,1,0
172,2,6500,6,31,male,Secondary special education,Cell phones,1,2,26000,Another,1,1,1
173,2,12500,18,32,female,Secondary education,Cell phones,1,2,11000,Married,1,0,0
174,2,22500,18,40,male,Secondary special education,Household appliances,0,2,25000,Married,0,1,0
175,2,13500,6,24,female,Higher education,Construction Materials,0,2,21000,Another,0,1,0
176,2,25500,10,20,male,Incomplete higher education,Cell phones,0,2,23000,Unmarried,1,1,0
177,2,18500,6,29,male,Secondary special education,Furniture,1,2,27000,Another,1,0,0
178,2,46500,12,54,male,Higher education,Windows & Doors,0,0,71000,Another,0,1,0
179,2,22500,12,33,male,Secondary special education,Cell phones,1,2,7000,Another,1,1,0
180,2,54000,3,45,male,Higher education,Household appliances,0,2,101000,Married,3,1,0
181,2,14000,12,42,female,Secondary special education,Cell phones,1,2,21000,Another,3,0,0
182,2,30000,6,42,male,Secondary education,Computers,0,2,31000,Another,1,1,0
183,2,35000,8,36,male,Secondary special education,Household appliances,0,2,61000,Another,2,1,0
184,2,76000,15,26,female,Higher education,Tourism,1,2,61000,Another,0,0,0
185,2,24500,12,23,male,Higher education,Cell phones,0,1,27000,Another,1,1,0
186,2,25000,6,45,male,Secondary special education,Household appliances,1,0,36000,Another,1,0,0
187,2,37500,12,22,female,Secondary special education,Household appliances,0,0,26000,Another,0,0,0
188,2,21000,12,24,female,Secondary special education,Cell phones,0,2,24000,Another,0,1,1
189,2,31500,12,26,female,Secondary education,Cell phones,0,2,31000,Another,2,1,1
190,2,38500,12,33,female,Higher education,Furniture,0,2,79000,Married,0,1,0
191,2,31000,16,56,male,Secondary special education,Cell phones,1,2,33000,Another,0,1,0
192,2,5000,6,32,male,Secondary special education,Household appliances,1,2,26000,Another,1,0,0
193,2,190500,6,31,female,Secondary special education,Boats,0,2,171000,Another,1,0,0
194,2,7500,6,32,male,Secondary education,Windows & Doors,1,2,13000,Another,0,1,0
195,2,22500,12,21,male,Secondary special education,Computers,1,2,26000,Another,0,1,0
196,2,21000,12,26,female,Secondary education,Cell phones,0,2,21000,Another,2,1,1
197,2,21000,8,49,male,Higher education,Household appliances,0,2,41000,Another,3,1,0
198,2,52500,15,64,male,Higher education,Clothing,0,0,43000,Another,3,1,0
199,2,27500,12,26,female,Secondary education,Household appliances,0,2,29000,Another,0,1,0
200,2,41000,5,20,female,Incomplete higher education,Auto,0,1,61000,Married,1,1,0
201,2,7000,12,53,male,Secondary education,Computers,0,2,18000,Another,0,0,0
202,2,8000,18,23,female,Secondary special education,Cell phones,0,2,14000,Married,1,1,1
203,2,10000,12,39,male,Higher education,Household appliances,1,2,21000,Married,0,1,0
204,2,12000,6,44,male,Secondary special education,Furniture,0,2,29000,Another,1,1,0
205,2,29000,11,25,male,Higher education,Fitness,0,0,56000,Married,1,1,0
206,2,15000,4,20,male,Secondary education,Cell phones,0,2,10000,Another,3,0,0
207,2,15000,6,28,male,Higher education,Household appliances,0,2,26000,Married,1,0,0
208,2,21500,6,52,male,Secondary special education,Cell phones,1,2,10000,Another,1,0,0
209,2,20000,6,40,female,Secondary special education,Cell phones,1,2,36000,Another,3,1,0
210,2,14500,12,33,female,Secondary special education,Household appliances,1,2,26000,Another,0,0,0
211,2,10500,12,32,male,Secondary special education,Cell phones,0,2,31000,Married,0,1,0
212,2,32000,10,57,male,Higher education,Household appliances,1,0,15000,Another,2,1,0
213,2,15500,4,58,female,Secondary education,Cell phones,0,0,26000,Married,0,1,0
214,2,30500,18,28,male,Higher education,Furniture,1,2,21000,Married,2,1,0
215,2,45000,18,48,male,Secondary education,Furniture,1,1,29000,Another,1,0,0
216,2,69000,15,64,female,Higher education,Tourism,0,2,26000,Another,1,0,0
217,2,16500,12,35,male,Higher education,Computers,1,2,22000,Married,0,0,0
218,2,14500,4,62,male,Secondary special education,Windows & Doors,1,2,16000,Another,0,1,0
219,2,37000,10,33,male,Higher education,Clothing,1,0,101000,Another,1,0,0
220,2,10000,6,23,female,Incomplete higher education,Household appliances,1,2,19000,Another,0,0,0
221,2,37500,12,43,male,Secondary education,Household appliances,0,2,16000,Another,0,0,0
222,2,10000,12,25,male,Secondary special education,Clothing,0,2,36000,Another,1,1,0
223,2,12500,6,32,male,Higher education,Jewelry,1,2,23000,Another,2,0,0
224,2,22500,12,26,female,Secondary special education,Cell phones,0,2,22000,Another,0,1,1
225,2,144500,15,46,female,Higher education,Construction Materials,0,2,81000,Another,1,0,0
226,2,5500,6,55,female,Secondary special education,Cell phones,1,2,31000,Unmarried,1,0,0
227,2,19500,10,50,male,Higher education,Cell phones,1,2,21000,Another,2,1,0
228,2,16000,10,67,male,Higher education,Cosmetics and beauty services,0,2,35000,Married,1,0,0
229,2,15500,6,35,male,Higher education,Furniture,1,2,26000,Married,2,1,0
230,2,21000,6,20,male,Secondary special education,Household appliances,0,2,30000,Another,1,1,0
231,2,21000,24,27,male,Secondary special education,Household appliances,1,2,16000,Another,1,0,0
232,2,199000,36,52,male,Higher education,Cosmetics and beauty services,0,2,61000,Another,1,1,0
233,2,36000,24,41,male,Secondary special education,Clothing,1,2,21000,Another,1,0,0
234,2,6500,3,41,male,Secondary special education,Household appliances,1,2,11000,Married,1,1,0
235,2,37500,12,57,male,Higher education,Furniture,1,2,13000,Another,0,1,0
236,2,48000,36,34,male,Secondary special education,Furniture,1,2,18000,Unmarried,0,1,1
237,2,29000,12,32,female,Secondary special education,Household appliances,0,2,31000,Married,1,1,0
238,2,6500,10,38,male,Higher education,Cell phones,1,2,16000,Another,1,0,0
239,2,87000,10,40,male,Secondary special education,Furniture,1,2,26000,Another,3,1,0
240,2,29500,18,27,female,Higher education,Household appliances,0,2,16000,Another,1,1,0
241,2,22500,10,42,female,Higher education,Garden equipment,1,2,21000,Married,2,1,0
242,2,27500,8,29,male,Incomplete higher education,Jewelry,1,2,36000,Married,2,0,0
243,2,14000,12,40,female,Higher education,Household appliances,1,2,51000,Another,2,0,0
244,2,60000,6,27,female,Higher education,Medical services,0,2,36000,Married,1,0,0
245,2,8000,10,29,male,Secondary special education,Cell phones,1,2,31000,Married,1,0,0
246,2,32500,24,42,male,Higher education,Household appliances,1,2,23000,Married,1,0,0
247,2,11000,6,64,male,Incomplete higher education,Furniture,1,2,20000,Married,1,1,0
248,2,23500,10,41,male,Secondary special education,Household appliances,1,2,46000,Another,1,0,0
249,2,29000,12,31,male,Secondary education,Cell phones,0,1,31000,Married,1,0,0
250,2,11000,6,60,female,Secondary special education,Windows & Doors,1,2,21000,Another,0,0,0
251,2,13000,6,25,male,Secondary special education,Household appliances,0,0,31000,Another,3,0,0
252,2,33500,12,26,male,Higher education,Household appliances,0,2,41000,Married,0,0,0
253,2,6500,4,31,female,Secondary special education,Cell phones,1,2,21000,Another,3,0,0
254,2,8000,6,29,female,Higher education,Household appliances,0,0,31000,Another,1,0,0
255,2,40500,18,39,male,Secondary education,Cosmetics and beauty services,1,0,41000,Another,0,1,0
256,2,14500,10,22,male,Secondary special education,Computers,0,2,26000,Another,1,0,0
257,2,9000,3,27,male,Higher education,Household appliances,1,2,26000,Another,1,0,0
258,2,10500,12,42,female,Secondary special education,Computers,1,2,24000,Another,0,1,0
259,2,29500,6,47,male,Secondary special education,Household appliances,0,2,26000,Another,1,0,0
260,2,28000,12,21,female,Secondary special education,Cell phones,0,2,71000,Another,0,1,0
261,2,28000,12,43,female,Incomplete higher education,Computers,1,2,16000,Married,1,1,0
262,2,23500,12,49,female,Secondary special education,Cell phones,1,0,65000,Married,0,0,0
263,2,12500,15,52,female,Higher education,Cell phones,1,2,18000,Another,0,1,0
264,2,148000,18,35,female,Secondary special education,Furniture,1,2,31000,Another,3,0,0
265,2,20000,3,39,male,Higher education,Medical services,1,2,26000,Married,0,1,0
266,2,40000,12,24,female,Secondary special education,Cell phones,0,2,41000,Another,1,1,0
267,2,22000,12,50,female,Secondary special education,Medical services,1,1,37000,Another,2,1,0
268,2,21000,12,31,male,Higher education,Cell phones,0,2,16000,Another,0,1,0
269,2,12500,6,60,male,Secondary education,Computers,1,2,21000,Another,1,0,0
270,2,35500,10,57,female,Secondary special education,Furniture,1,2,21000,Unmarried,1,1,0
271,2,164000,12,57,male,Higher education,Clothing,1,2,81000,Another,0,1,0
272,2,22000,24,32,female,Higher education,Household appliances,1,2,23000,Another,1,0,0
273,2,28000,12,24,female,Secondary education,Cell phones,0,2,51000,Unmarried,0,0,0
274,2,22000,12,49,female,Secondary special education,Computers,1,2,41000,Another,0,1,0
275,3,20000,12,22,female,Incomplete higher education,Cell phones,0,2,21000,Another,1,1,0
276,3,7000,6,33,female,Secondary education,Cell phones,0,0,46000,Another,2,1,0
277,3,16000,12,36,male,Secondary special education,Cell phones,0,0,31000,Another,1,0,0
278,2,12500,4,32,male,Secondary education,Computers,1,2,19000,Married,2,1,0
279,2,18000,12,33,female,Higher education,Household appliances,0,1,36000,Another,0,1,0
280,2,16000,12,32,male,Secondary special education,Medical services,1,2,31000,Married,3,0,0
281,3,23000,10,31,female,Secondary special education,Household appliances,0,2,29000,Another,2,0,0
282,3,44000,12,36,male,Secondary special education,Cosmetics and beauty services,0,2,26000,Married,0,1,1
283,3,14500,12,23,female,Secondary special education,Cell phones,0,2,21000,Another,0,1,0
284,3,16000,6,21,female,Secondary education,Cell phones,0,2,36000,Married,0,0,0
285,3,17500,12,34,female,Secondary special education,Cell phones,1,2,28000,Another,2,1,0
286,3,19000,10,29,male,Higher education,Clothing,1,1,31000,Another,3,0,0
287,3,133000,12,57,female,Secondary education,Furniture,1,2,51000,Another,0,1,0
288,3,24500,12,29,female,Higher education,Household appliances,0,2,31000,Another,1,0,0
289,3,27500,12,28,female,Higher education,Cell phones,0,2,41000,Another,0,1,0
290,3,19500,12,20,female,Incomplete higher education,Computers,0,2,31000,Another,2,1,0
291,3,29000,17,31,female,Secondary special education,Household appliances,0,1,51000,Another,0,1,0
292,3,22000,12,21,male,Secondary special education,Furniture,0,2,20000,Another,1,1,1
293,3,17000,18,53,female,Secondary special education,Household appliances,1,2,16000,Another,0,1,0
294,3,30000,12,36,male,Secondary special education,Cell phones,1,0,46000,Married,1,1,0
295,3,27000,6,42,male,Secondary special education,Furniture,1,2,16000,Another,1,1,0
296,3,31000,6,32,female,Secondary special education,Cell phones,0,2,31000,Another,0,1,1
297,3,11500,12,39,female,Secondary special education,Computers,0,2,21000,Unmarried,1,1,0
298,3,25000,18,40,female,Secondary special education,Household appliances,1,2,46000,Another,0,0,0
299,3,17500,10,21,male,Incomplete higher education,Computers,0,2,21000,Another,2,0,0
300,3,22000,6,40,female,Secondary special education,Cell phones,1,2,20000,Another,1,1,0
301,3,9500,9,22,female,Secondary special education,Computers,0,2,19000,Married,1,1,1
302,3,13000,10,45,female,Secondary education,Cell phones,1,2,26000,Married,2,0,0
303,3,6000,3,25,male,Secondary special education,Jewelry,1,2,23000,Married,3,1,0
304,3,7000,12,23,female,Secondary special education,Cell phones,1,2,16000,Unmarried,0,1,0
305,3,25000,10,23,female,Secondary special education,Household appliances,1,2,46000,Married,1,0,0
306,3,24500,12,37,female,Higher education,Household appliances,1,2,61000,Another,2,0,0
307,3,8500,6,40,male,Secondary special education,Jewelry,1,2,26000,Another,3,0,0
308,3,19500,12,23,female,Secondary special education,Household appliances,0,2,18000,Married,0,1,0
309,3,10500,24,22,male,Secondary special education,Household appliances,1,2,26000,Married,0,1,0
310,3,30000,24,22,female,Secondary special education,Household appliances,0,2,13000,Another,2,1,0
311,3,25000,12,42,female,Secondary special education,Cell phones,0,0,21000,Another,1,0,1
312,3,11000,18,23,female,Secondary special education,Jewelry,0,2,24000,Unmarried,2,1,0
313,3,24000,12,27,female,Higher education,Cell phones,0,2,27000,Another,3,0,0
314,3,7500,8,22,female,Secondary special education,Cell phones,0,2,19000,Another,1,1,0
315,3,31000,12,22,female,Incomplete higher education,Cell phones,0,2,31000,Another,2,1,0
316,3,25000,12,25,male,Incomplete higher education,Cell phones,1,1,36000,Married,1,0,0
317,3,34000,12,31,female,Secondary special education,Household appliances,0,1,31000,Unmarried,1,1,0
318,3,14000,8,33,female,Secondary special education,Cell phones,0,2,26000,Another,2,1,1
319,3,12000,12,30,female,Secondary special education,Cell phones,1,2,41000,Another,0,0,0
320,3,15000,12,26,male,Higher education,Computers,1,2,21000,Married,0,0,0
321,3,20500,6,30,female,Secondary special education,Household appliances,0,2,41000,Another,2,0,0
322,3,7500,12,24,female,Secondary special education,Cell phones,0,2,21000,Another,2,1,0
323,3,15500,12,28,male,Higher education,Household appliances,0,2,26000,Married,1,0,0
324,3,11000,6,27,female,Higher education,Household appliances,0,0,46000,Unmarried,1,0,0
325,3,34000,12,19,female,Secondary education,Household appliances,0,2,16000,Married,0,1,1
326,3,18500,6,27,female,Incomplete higher education,Clothing,1,2,81000,Another,2,0,0
327,3,97000,24,35,male,Higher education,Household appliances,1,2,29000,Another,1,1,0
328,3,5500,4,41,male,Secondary special education,Construction Materials,0,2,19000,Another,0,0,0
329,3,10500,6,31,female,Higher education,Cell phones,1,2,51000,Another,1,1,0
330,3,20000,6,31,male,Secondary special education,Household appliances,0,2,26000,Another,0,0,0
331,3,18000,8,26,female,Secondary special education,Furniture,0,2,26000,Another,0,1,0
332,3,19000,6,34,male,Secondary special education,Computers,1,2,27000,Another,1,0,0
333,3,20500,10,43,male,Secondary special education,Computers,1,2,21000,Another,3,1,0
334,3,25500,24,29,male,Secondary education,Jewelry,0,2,16000,Married,1,1,1
335,3,23000,10,23,female,Secondary special education,Cell phones,0,2,51000,Married,1,1,0
